date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:58:41	159950/159950	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2011%20Aug%202018%2009:22:39%20GMT	http://taotajima.jp/js/main.js?date=20171208	C:/Meus%20Sites/site%20bonito/taotajima.jp/js/main1e1c.js	(from http://taotajima.jp/)
02:58:41	220/220	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:41%20GMT	http://taotajima.jp/works/MN/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/MN/manifest.json	(from http://taotajima.jp/works/MN/)
02:58:42	223/223	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:42%20GMT	http://taotajima.jp/works/prism/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/prism/manifest.json	(from http://taotajima.jp/works/prism/)
02:58:42	224/224	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:42%20GMT	http://taotajima.jp/works/ATTESA/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/ATTESA/manifest.json	(from http://taotajima.jp/works/ATTESA/)
02:58:43	227/227	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:43%20GMT	http://taotajima.jp/works/AJINOMOTO/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/AJINOMOTO/manifest.json	(from http://taotajima.jp/works/AJINOMOTO/)
02:58:43	223/223	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:43%20GMT	http://taotajima.jp/works/Magic/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/Magic/manifest.json	(from http://taotajima.jp/works/Magic/)
02:58:44	232/232	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:44%20GMT	http://taotajima.jp/works/reiji-no-machi/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/reiji-no-machi/manifest.json	(from http://taotajima.jp/works/reiji-no-machi/)
02:58:44	228/228	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:44%20GMT	http://taotajima.jp/works/Sarazanmai/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/Sarazanmai/manifest.json	(from http://taotajima.jp/works/Sarazanmai/)
02:58:44	232/232	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:45%20GMT	http://taotajima.jp/works/the-9d-project/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/the-9d-project/manifest.json	(from http://taotajima.jp/works/the-9d-project/)
02:58:45	231/231	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:45%20GMT	http://taotajima.jp/works/mtv-ultrahits/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/mtv-ultrahits/manifest.json	(from http://taotajima.jp/works/mtv-ultrahits/)
